Identifier,Optimal Groups,n Values,Result
45-8-6-5-4-2-4,4,"38,10,42,43,28,39,13,41","[42 43 28 39 13 41], [38 10 28 39 13 41], [38 10 42 43 13 41], [38 10 42 43 28 39]"
45-8-6-5-4-2-4,4,"16,20,24,9,2,45,13,10","[24 9 2 45 13 10], [16 20 2 45 13 10], [16 20 24 9 13 10], [16 20 24 9 2 45]"
45-8-6-5-4-2-4,4,"2,12,22,41,43,9,37,19","[22 41 43 9 37 19], [2 12 43 9 37 19], [2 12 22 41 37 19], [2 12 22 41 43 9]"
45-8-6-5-4-2-4,4,"26,5,2,41,1,8,44,15","[2 41 1 8 44 15], [26 5 1 8 44 15], [26 5 2 41 44 15], [26 5 2 41 1 8]"
45-8-6-5-4-2-4,4,"25,21,40,18,30,24,31,38","[40 18 30 24 31 38], [25 21 30 24 31 38], [25 21 40 18 31 38], [25 21 40 18 30 24]"
45-8-6-5-4-2-4,4,"39,17,35,21,19,27,3,34","[35 21 19 27 3 34], [39 17 19 27 3 34], [39 17 35 21 3 34], [39 17 35 21 19 27]"
45-8-6-5-4-2-4,4,"24,32,10,43,28,18,12,39","[10 43 28 18 12 39], [24 32 28 18 12 39], [24 32 10 43 12 39], [24 32 10 43 28 18]"
45-8-6-5-4-2-4,4,"8,35,25,36,45,31,6,11","[25 36 45 31 6 11], [8 35 45 31 6 11], [8 35 25 36 6 11], [8 35 25 36 45 31]"
45-8-6-5-4-2-4,4,"25,9,12,7,19,29,36,35","[12 7 19 29 36 35], [25 9 19 29 36 35], [25 9 12 7 36 35], [25 9 12 7 19 29]"
45-12-5-4-3-1-39,39,"28,5,6,21,15,9,30,20,33,39,16,40","[20 33 39 16 40], [6 21 15 9 30], [28 5 39 16 40], [15 9 30 20 33], [28 5 6 21 40], [15 9 30 39 16], [28 5 21 20 33], [6 15 9 30 40], [28 5 6 39 16], [5 6 21 20 33], [28 21 15 9 30], [5 20 33 39 16], [9 30 39 16 40], [21 15 20 33 16], [28 5 9 30 39], [6 15 20 33 40], [28 21 9 30 39], [9 30 20 33 16], [28 5 6 15 40], [21 30 20 33 39], [28 5 6 9 40], [6 20 33 16 40], [28 5 21 39 40], [28 9 30 20 33], [5 21 15 16 40], [6 30 20 33 39], [28 5 9 33 40], [28 9 20 39 16], [5 21 15 9 30], [6 20 39 16 40], [21 15 30 20 16], [28 6 15 20 40], [9 30 33 39 16], [6 21 15 30 16], [9 30 33 39 40], [5 21 15 9 39], [9 30 20 33 40], [28 5 21 9 33], [28 5 33 39 16]"
45-12-5-4-3-1-39,39,"7,15,14,24,39,16,33,1,19,8,9,20","[1 19 8 9 20], [14 24 39 16 33], [7 15 8 9 20], [39 16 33 1 19], [7 15 14 24 20], [39 16 33 8 9], [7 15 24 1 19], [14 39 16 33 20], [7 15 14 8 9], [15 14 24 1 19], [7 24 39 16 33], [15 1 19 8 9], [16 33 8 9 20], [24 39 1 19 9], [7 15 16 33 8], [14 39 1 19 20], [7 24 16 33 8], [16 33 1 19 9], [7 15 14 39 20], [24 33 1 19 8], [7 15 14 16 20], [14 1 19 9 20], [7 15 24 8 20], [7 16 33 1 19], [15 24 39 9 20], [14 33 1 19 8], [7 15 16 19 20], [7 16 1 8 9], [15 24 39 16 33], [14 1 8 9 20], [24 39 33 1 9], [7 14 39 1 20], [16 33 19 8 9], [14 24 39 33 9], [16 33 19 8 20], [15 24 39 16 8], [16 33 1 19 20], [7 15 24 16 19], [7 15 19 8 9]"
